PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,TOV,REB,PLUS_MINUS
1630215,Jared Butler,PHI,24.0,60,17.4,9.0,3.4,7.6,0.448,1.0,2.8,0.355,1.3,1.5,0.824,3.7,1.3,1.8,-2.2
1628991,Jaren Jackson Jr.,MEM,25.0,74,29.8,22.2,8.0,16.4,0.488,2.0,5.3,0.375,4.2,5.4,0.781,2.0,2.1,5.6,4.5
1628386,Jarrett Allen,CLE,27.0,82,28.0,13.5,5.5,7.8,0.706,0.0,0.1,0.0,2.4,3.4,0.718,1.9,1.2,9.7,6.3
1629750,Javonte Green,CLE,31.0,68,18.5,5.1,1.8,4.2,0.429,0.7,2.1,0.326,0.8,1.1,0.724,0.8,0.5,3.2,-3.1
1629637,Jaxson Hayes,LAL,25.0,56,19.5,6.8,2.9,4.0,0.722,0.0,0.1,0.0,1.1,1.8,0.622,1.0,0.8,4.8,1.6
1630643,Jay Huff,MEM,27.0,64,11.7,6.9,2.5,4.8,0.515,1.3,3.1,0.405,0.7,0.9,0.786,0.6,0.5,2.0,0.4
1627759,Jaylen Brown,BOS,28.0,63,34.3,22.2,8.2,17.7,0.463,1.8,5.7,0.324,3.9,5.1,0.764,4.5,2.6,5.8,6.4
1641740,Jaylen Clark,MIN,23.0,40,13.0,4.1,1.4,3.0,0.467,0.6,1.3,0.431,0.7,0.9,0.784,0.7,0.2,1.3,1.1
1642377,Jaylen Wells,MEM,21.0,79,25.9,10.4,3.6,8.6,0.425,1.7,5.0,0.352,1.4,1.7,0.822,1.7,0.9,3.4,2.4
1631119,Jaylin Williams,OKC,23.0,47,16.7,5.9,2.1,4.7,0.439,1.3,3.3,0.399,0.5,0.6,0.767,2.6,0.7,5.6,6.4
1642281,Jaylon Tyson,CLE,22.0,47,9.6,3.6,1.4,3.2,0.43,0.4,1.2,0.345,0.4,0.5,0.792,0.9,0.6,2.0,0.0
1628369,Jayson Tatum,BOS,27.0,72,36.4,26.8,9.2,20.3,0.452,3.5,10.1,0.343,5.0,6.1,0.814,6.0,2.9,8.7,7.4
1630288,Jeff Dowtin Jr.,PHI,28.0,41,15.1,7.0,2.7,5.6,0.487,0.7,1.7,0.4,0.8,1.1,0.733,1.9,0.4,1.5,-2.5
203924,Jerami Grant,POR,31.0,47,32.4,14.4,4.6,12.2,0.373,2.3,6.3,0.365,3.0,3.5,0.849,2.1,1.4,3.5,-4.3
1630526,Jeremiah Robinson-Earl,NOP,24.0,66,18.8,6.3,2.4,5.3,0.455,0.8,2.5,0.341,0.7,0.8,0.836,1.3,0.8,4.8,-5.0
1631110,Jeremy Sochan,SAS,22.0,54,25.3,11.4,4.6,8.7,0.535,0.5,1.7,0.308,1.6,2.3,0.696,2.4,1.6,6.5,-1.6
