SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2024-25,1630557,Corey Kispert,WAS,61,26.3,108.7,117.1,-8.5,0.094,13.4,0.021,0.084,0.053,8.3,0.558,0.584,0.169,102.68,0.074
2024-25,202709,Cory Joseph,ORL,50,12.2,110.5,106.9,3.6,0.166,28.7,0.027,0.095,0.06,7.2,0.529,0.547,0.126,98.59,0.075
2024-25,1641854,Craig Porter Jr.,CLE,51,10.1,108.3,113.5,-5.2,0.191,27.0,0.037,0.085,0.063,14.4,0.589,0.61,0.155,100.91,0.091
2024-25,1626156,D'Angelo Russell,BKN,58,25.5,110.1,111.6,-1.5,0.302,26.9,0.013,0.093,0.053,9.8,0.479,0.522,0.228,99.59,0.098
2024-25,1629610,DaQuan Jeffries,CHA,47,22.8,106.6,118.2,-11.6,0.073,13.5,0.033,0.087,0.06,8.9,0.5,0.518,0.136,98.04,0.046
2024-25,1630625,Dalano Banton,POR,67,16.7,110.2,111.8,-1.5,0.213,19.8,0.025,0.088,0.056,10.7,0.462,0.497,0.237,101.21,0.089
2024-25,1631207,Dalen Terry,CHI,73,13.5,104.0,111.6,-7.6,0.136,21.6,0.034,0.08,0.057,11.8,0.517,0.546,0.142,106.51,0.056
2024-25,1642261,Dalton Knecht,LAL,78,19.2,112.2,114.9,-2.8,0.067,9.5,0.026,0.116,0.073,5.3,0.576,0.594,0.181,98.26,0.087
2024-25,203081,Damian Lillard,MIL,58,36.1,115.3,114.6,0.7,0.299,23.8,0.014,0.108,0.063,9.4,0.547,0.621,0.269,100.86,0.144
2024-25,1629655,Daniel Gafford,DAL,57,21.5,114.9,113.4,1.5,0.097,12.7,0.127,0.168,0.149,10.4,0.702,0.716,0.186,101.73,0.141
2024-25,1628464,Daniel Theis,NOP,38,16.3,109.3,115.2,-5.9,0.131,26.0,0.062,0.192,0.122,10.8,0.508,0.558,0.111,102.26,0.081
2024-25,1629636,Darius Garland,CLE,75,30.7,123.2,113.4,9.9,0.309,25.6,0.021,0.068,0.045,9.6,0.562,0.6,0.265,101.32,0.126
2024-25,1631223,David Roddy,HOU,33,12.4,106.4,114.6,-8.2,0.121,18.0,0.03,0.177,0.101,11.3,0.532,0.561,0.159,104.43,0.089
2024-25,1630558,Davion Mitchell,MIA,74,27.4,111.0,110.7,0.3,0.237,36.2,0.017,0.063,0.041,12.8,0.557,0.573,0.135,98.76,0.069
2024-25,1630549,Day'Ron Sharpe,BKN,50,18.1,109.2,107.1,2.1,0.158,18.1,0.149,0.202,0.174,12.5,0.538,0.568,0.186,97.35,0.134
2024-25,1628368,De'Aaron Fox,SAS,62,36.1,113.7,114.9,-1.2,0.262,21.0,0.023,0.106,0.064,9.3,0.514,0.56,0.274,102.22,0.119
2024-25,1629631,De'Andre Hunter,CLE,64,27.2,115.9,113.9,2.0,0.077,8.7,0.024,0.117,0.071,7.8,0.573,0.623,0.221,104.77,0.101
2024-25,201599,DeAndre Jordan,DEN,56,12.3,108.8,112.1,-3.3,0.105,20.2,0.119,0.262,0.194,15.3,0.65,0.621,0.126,100.07,0.115
2024-25,201942,DeMar DeRozan,SAC,77,35.9,116.8,115.3,1.5,0.182,17.7,0.018,0.09,0.054,5.4,0.509,0.569,0.244,99.35,0.112
2024-25,1629731,Dean Wade,CLE,59,21.2,120.0,109.4,10.7,0.073,20.1,0.041,0.15,0.097,5.8,0.561,0.563,0.101,101.1,0.067
2024-25,1629028,Deandre Ayton,POR,40,30.1,110.0,116.8,-6.9,0.083,10.2,0.099,0.243,0.168,11.0,0.573,0.583,0.197,98.94,0.125
2024-25,1627749,Dejounte Murray,NOP,31,32.6,109.0,118.1,-9.1,0.347,25.9,0.015,0.183,0.094,12.0,0.445,0.494,0.263,102.86,0.118
2024-25,1626153,Delon Wright,NYK,40,15.9,106.1,106.3,-0.2,0.162,31.8,0.042,0.061,0.051,9.1,0.42,0.44,0.111,98.84,0.061
2024-25,1630166,Deni Avdija,POR,72,30.0,113.6,114.5,-0.9,0.193,19.0,0.048,0.19,0.117,13.3,0.55,0.605,0.228,99.86,0.126
2024-25,203471,Dennis Schröder,DET,75,28.1,111.8,112.8,-0.9,0.287,27.6,0.012,0.08,0.046,9.7,0.483,0.531,0.211,100.49,0.091
2024-25,1641726,Dereck Lively II,DAL,36,23.1,114.1,106.4,7.7,0.143,24.3,0.122,0.186,0.155,11.7,0.702,0.704,0.132,100.99,0.124
2024-25,1627884,Derrick Jones Jr.,LAC,77,24.3,115.5,108.7,6.7,0.044,7.8,0.051,0.092,0.072,8.6,0.593,0.609,0.16,99.72,0.076
2024-25,1628401,Derrick White,BOS,76,33.9,119.7,109.5,10.2,0.199,23.7,0.025,0.101,0.064,8.6,0.58,0.606,0.195,97.89,0.106
2024-25,1630217,Desmond Bane,ORL,69,32.0,116.1,113.3,2.8,0.235,22.7,0.026,0.15,0.088,10.4,0.565,0.6,0.227,104.58,0.131
2024-25,1626164,Devin Booker,PHX,75,37.3,115.3,118.5,-3.2,0.301,22.4,0.028,0.08,0.055,9.3,0.525,0.589,0.285,98.72,0.122
2024-25,1642269,Devin Carter,SAC,36,11.0,113.1,109.3,3.9,0.139,19.9,0.044,0.147,0.093,8.7,0.441,0.471,0.169,100.14,0.07
2024-25,1630170,Devin Vassell,SAS,64,31.0,111.9,118.1,-6.2,0.139,15.2,0.016,0.107,0.062,7.3,0.532,0.553,0.217,100.8,0.092
2024-25,1628415,Dillon Brooks,HOU,75,31.8,113.5,108.8,4.7,0.076,11.1,0.028,0.081,0.054,6.6,0.533,0.555,0.176,98.94,0.067
2024-25,1641794,Dillon Jones,OKC,54,10.2,108.9,102.9,6.0,0.143,25.0,0.05,0.153,0.102,12.1,0.444,0.464,0.131,101.09,0.066
2024-25,1627734,Domantas Sabonis,SAC,70,34.7,116.5,113.9,2.6,0.251,25.7,0.11,0.286,0.199,12.3,0.627,0.655,0.213,99.78,0.164
2024-25,1631230,Dominick Barlow,ATL,35,10.7,110.2,111.8,-1.6,0.07,12.7,0.091,0.139,0.114,3.3,0.562,0.58,0.141,104.7,0.082
2024-25,1642270,Donovan Clingan,POR,67,19.8,109.9,109.7,0.2,0.081,14.6,0.144,0.218,0.179,13.7,0.56,0.574,0.135,101.68,0.105
2024-25,1628378,Donovan Mitchell,CLE,71,31.4,119.7,109.1,10.5,0.238,18.0,0.025,0.112,0.069,7.6,0.531,0.575,0.298,102.21,0.137
2024-25,1628978,Donte DiVincenzo,MIN,62,25.9,114.2,109.1,5.1,0.203,23.8,0.02,0.115,0.068,10.5,0.568,0.582,0.188,100.17,0.1
2024-25,1627827,Dorian Finney-Smith,LAL,63,28.9,119.1,110.3,8.8,0.066,15.0,0.047,0.089,0.069,9.3,0.597,0.604,0.123,98.14,0.06
2024-25,203926,Doug McDermott,SAC,42,8.1,111.5,109.9,1.6,0.028,5.3,0.009,0.054,0.031,4.5,0.615,0.617,0.15,101.3,0.051
2024-25,203110,Draymond Green,GSW,68,29.2,115.4,108.8,6.6,0.255,33.9,0.036,0.168,0.102,15.4,0.503,0.534,0.157,101.35,0.088
2024-25,1629234,Drew Eubanks,LAC,61,12.2,106.7,114.8,-8.1,0.11,16.7,0.078,0.211,0.145,12.7,0.601,0.622,0.149,102.72,0.111
2024-25,1629130,Duncan Robinson,MIA,74,24.1,110.1,109.9,0.2,0.148,18.6,0.01,0.084,0.047,9.1,0.581,0.595,0.187,97.68,0.078
2024-25,1641871,Duop Reath,POR,46,10.2,108.0,114.5,-6.5,0.083,11.9,0.082,0.111,0.095,7.3,0.524,0.552,0.162,102.71,0.077
2024-25,203939,Dwight Powell,DAL,55,10.0,108.6,109.7,-1.1,0.13,36.2,0.084,0.131,0.107,11.8,0.705,0.713,0.073,102.17,0.073
2024-25,1630700,Dyson Daniels,ATL,76,33.8,113.3,114.2,-0.9,0.174,22.6,0.046,0.127,0.085,10.5,0.536,0.545,0.178,104.17,0.099
2024-25,201569,Eric Gordon,PHI,39,19.7,111.0,116.4,-5.4,0.118,20.5,0.011,0.052,0.031,8.8,0.564,0.591,0.14,99.62,0.067
2024-25,1630596,Evan Mobley,CLE,71,30.5,120.5,108.6,11.9,0.149,16.1,0.076,0.213,0.147,10.3,0.604,0.633,0.226,102.16,0.151
2024-25,1630532,Franz Wagner,ORL,60,33.7,111.8,105.8,6.0,0.247,16.5,0.027,0.146,0.085,8.0,0.507,0.558,0.306,97.65,0.153
2024-25,1627832,Fred VanVleet,HOU,60,35.2,115.0,108.8,6.2,0.217,27.0,0.014,0.089,0.049,7.1,0.483,0.515,0.176,98.18,0.093
2024-25,1629216,Gabe Vincent,LAL,72,21.2,111.8,110.7,1.1,0.09,17.2,0.013,0.045,0.029,7.2,0.53,0.536,0.131,100.07,0.039
2024-25,1629726,Garrison Mathews,ATL,47,17.6,107.9,111.4,-3.5,0.102,16.0,0.015,0.085,0.049,8.2,0.562,0.606,0.153,105.43,0.068
2024-25,203914,Gary Harris,ORL,48,14.8,110.4,103.2,7.2,0.058,16.3,0.026,0.063,0.044,9.2,0.519,0.524,0.09,99.58,0.043
2024-25,1627780,Gary Payton II,GSW,62,15.0,113.5,110.1,3.4,0.132,19.1,0.056,0.134,0.096,9.0,0.626,0.635,0.156,102.12,0.104
2024-25,1629018,Gary Trent Jr.,MIL,74,25.6,115.9,114.0,1.9,0.064,10.6,0.011,0.074,0.044,5.1,0.568,0.591,0.168,100.75,0.07
2024-25,1627777,Georges Niang,ATL,79,21.5,118.7,114.1,4.7,0.087,13.2,0.027,0.126,0.077,9.8,0.595,0.607,0.177,102.45,0.071
