PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
1628973,Jalen Brunson,NYK,28.0,65,2300.7083333333335,1690,585,1200,0.488,152,397,0.383,368,448,0.821,27,160,187,475,60,8,164,138,146
1631105,Jalen Duren,DET,21.0,78,2033.5483333333334,918,378,546,0.692,0,0,0.0,162,242,0.669,277,530,807,209,54,89,136,251,36
1630224,Jalen Green,HOU,23.0,82,2697.11,1723,608,1437,0.423,234,661,0.354,273,336,0.813,45,332,377,282,71,27,203,127,166
1630552,Jalen Johnson,ATL,23.0,36,1284.1783333333333,680,271,542,0.5,44,141,0.312,94,126,0.746,62,297,359,181,56,36,106,67,55
1629618,Jalen Pickett,DEN,25.0,49,666.19,200,77,180,0.428,40,101,0.396,6,8,0.75,15,56,71,107,19,5,24,38,52
1630188,Jalen Smith,CHI,25.0,64,962.3833333333333,524,190,408,0.466,72,222,0.324,72,89,0.809,89,268,357,65,17,44,37,95,-36
1630591,Jalen Suggs,ORL,24.0,35,1002.4533333333334,567,197,481,0.41,76,242,0.314,97,110,0.882,23,118,141,129,51,33,102,98,3
1631114,Jalen Williams,OKC,24.0,69,2236.673333333333,1490,565,1168,0.484,124,340,0.365,236,299,0.789,59,310,369,354,111,46,150,158,456
1630592,Jalen Wilson,BKN,24.0,79,2031.3866666666668,749,246,620,0.397,122,362,0.337,135,165,0.818,75,195,270,145,40,5,79,164,-262
1631288,Jamal Cain,NOP,26.0,37,501.79833333333335,196,68,158,0.43,26,80,0.325,34,50,0.68,27,58,85,22,23,9,22,46,-132
1627750,Jamal Murray,DEN,28.0,67,2418.346666666667,1436,531,1121,0.474,156,397,0.393,218,246,0.886,45,216,261,403,91,33,138,128,331
1642347,Jamal Shead,TOR,22.0,75,1466.825,533,204,504,0.405,72,223,0.323,53,69,0.768,30,85,115,316,58,10,117,158,-234
201935,James Harden,LAC,35.0,79,2789.036666666667,1802,531,1295,0.41,235,668,0.352,505,578,0.874,55,401,456,687,118,55,341,162,344
1642419,Jamison Battle,TOR,24.0,59,1041.6783333333333,419,149,347,0.429,105,259,0.405,16,18,0.889,37,121,158,53,17,10,27,92,-183
1641716,Jarace Walker,IND,21.0,75,1186.62,461,170,360,0.472,75,185,0.405,46,69,0.667,25,204,229,110,54,25,78,115,-146
1630215,Jared Butler,PHI,24.0,60,1043.735,541,203,453,0.448,60,169,0.355,75,91,0.824,25,85,110,220,42,13,80,97,-131
1628991,Jaren Jackson Jr.,MEM,25.0,74,2206.951666666667,1641,592,1213,0.488,146,389,0.375,311,398,0.781,91,326,417,148,92,113,153,257,331
1629020,Jarred Vanderbilt,LAL,26.0,36,580.8583333333333,147,59,121,0.488,9,32,0.281,20,36,0.556,68,114,182,41,35,10,29,67,35
1628386,Jarrett Allen,CLE,27.0,82,2296.0533333333333,1103,452,640,0.706,0,5,0.0,199,277,0.718,216,582,798,158,77,73,97,127,514
1629750,Javonte Green,CLE,31.0,68,1257.8333333333333,347,123,287,0.429,46,141,0.326,55,76,0.724,59,159,218,56,65,31,32,98,-212
1629637,Jaxson Hayes,LAL,25.0,56,1092.6833333333334,383,161,223,0.722,0,3,0.0,61,98,0.622,78,191,269,58,31,51,43,136,87
1630643,Jay Huff,MEM,27.0,64,748.0316666666666,439,157,305,0.515,81,200,0.405,44,56,0.786,30,99,129,38,16,56,34,78,25
1627759,Jaylen Brown,BOS,28.0,63,2157.9283333333333,1398,518,1118,0.463,116,358,0.324,246,322,0.764,82,286,368,286,73,19,162,154,402
1641740,Jaylen Clark,MIN,23.0,40,521.9933333333333,163,56,120,0.467,22,51,0.431,29,37,0.784,26,27,53,26,36,2,8,61,44
1642377,Jaylen Wells,MEM,21.0,79,2043.4816666666666,823,287,676,0.425,138,392,0.352,111,135,0.822,87,181,268,135,44,8,69,146,186
1631119,Jaylin Williams,OKC,23.0,47,784.055,278,97,221,0.439,61,153,0.399,23,30,0.767,48,214,262,120,22,29,35,79,302
1642281,Jaylon Tyson,CLE,22.0,47,452.96,167,64,149,0.43,20,58,0.345,19,24,0.792,37,59,96,44,13,3,26,50,-2
1628369,Jayson Tatum,BOS,27.0,72,2623.8166666666666,1932,662,1465,0.452,250,728,0.343,358,440,0.814,48,575,623,431,76,38,209,157,534
1630288,Jeff Dowtin Jr.,PHI,28.0,41,620.77,285,112,230,0.487,28,70,0.4,33,45,0.733,12,48,60,78,24,12,15,29,-103
201145,Jeff Green,HOU,38.0,32,396.44666666666666,172,61,121,0.504,29,79,0.367,21,26,0.808,11,47,58,20,6,4,9,32,-38
203924,Jerami Grant,POR,31.0,47,1523.5866666666666,677,214,574,0.373,108,296,0.365,141,166,0.849,26,137,163,101,41,46,65,109,-202
1630526,Jeremiah Robinson-Earl,NOP,24.0,66,1238.9,418,158,347,0.455,56,164,0.341,46,55,0.836,110,205,315,88,39,7,51,79,-331
1631110,Jeremy Sochan,SAS,22.0,54,1363.9683333333332,617,251,469,0.535,28,91,0.308,87,125,0.696,127,225,352,128,45,27,84,131,-88
1630579,Jericho Sims,MIL,26.0,53,631.245,98,45,71,0.634,0,0,0.0,8,13,0.615,71,126,197,33,10,19,33,65,25
